MolWt,LogP,HBD,HBA,TPSA,RotatableBonds,AromaticRings,HeavyAtomCount,NumRings,FractionCSP3,NumHeteroatoms,MolRefractivity,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,BalabanJ,BertzCT
484.50300000000016,-7.2914000000000065,11,15,282.61000000000007,6,0,33,3,1.0,15,107.79220000000001,194,0,0.1866233369638592,-0.3935672815104059,1.722064446047075,584.1983387945309
556.5660000000003,-7.751500000000002,12,16,305.92,9,0,38,3,0.9523809523809523,17,123.45030000000001,222,0,0.24869966342173835,-0.3935672815104059,1.810585774535277,768.6268184793402
645.6600000000002,-9.500800000000014,14,20,367.55000000000007,9,0,44,4,1.0,20,142.3942,258,0,0.18662333696378774,-0.39356728151032216,1.440452515126484,912.0625141664644
452.4650000000001,-6.824199999999999,11,15,235.56999999999996,6,0,31,3,0.9375,15,102.92600000000002,180,0,0.19096542979950912,-0.39356652881769655,1.7910045412101172,618.1283704857777
484.50300000000016,-7.2914000000000065,11,15,282.61000000000007,6,0,33,3,1.0,15,107.79220000000001,194,0,0.1866233369638592,-0.3935672815104059,1.722064446047075,584.1983387945309
300.04600000000005,1.7004999999999997,2,2,53.6,0,0,5,0,0.0,5,21.750200000000007,40,0,,,0.0,6487.615802561712
317.15800000000013,-0.6771000000000005,2,6,106.2,0,0,9,1,0.0,7,22.228200000000008,58,0,,,2.764555313432089,7036.459375756795
397.28800000000024,-0.7861,2,6,86.80000000000001,2,0,15,2,0.75,7,46.602800000000016,90,0,,,1.7938541544394389,7813.879036533892
1045.4219999999993,3.2737000000000114,3,10,229.47,11,0,74,1,0.7777777777777778,20,286.5530999999995,422,0,0.24930028949271021,-0.3428080675235233,4.188784406784877,2022.4963067865572
625.7120000000002,1.7784000000000013,2,12,167.35999999999996,6,0,44,3,0.7419354838709677,13,154.4345999999997,248,0,0.330674013219762,-0.43412968645766703,2.0640108085088222,1089.5246826162254
206.28499999999997,3.073200000000001,1,1,37.3,4,1,15,1,0.46153846153846156,2,61.03480000000004,82,0,0.3101853515323108,-0.4807885019257389,2.7590371332701524,324.8941190021566
357.79300000000006,3.9273200000000026,1,3,68.53,4,3,25,3,0.15789473684210525,6,95.74730000000002,128,0,0.30740778215943576,-0.49668662337874064,2.2456654029233936,973.2479304430422
296.153,4.364100000000002,2,2,49.33,4,2,19,2,0.07142857142857142,5,77.52650000000003,98,0,0.3073958769035764,-0.48098521358051766,2.3273396206439827,614.1450014443018
381.3790000000001,3.5139200000000006,1,3,77.98,3,3,26,3,0.11764705882352941,9,90.1122,136,0,0.43469853500899064,-0.23250484922259315,2.160670373157657,1038.352309274621
230.26299999999998,3.036500000000001,1,2,46.53,3,2,17,2,0.21428571428571427,3,66.55080000000002,88,0,0.3101857253936121,-0.496745102865823,2.512074685693688,560.3959195741091
337.38200000000006,1.6424999999999998,2,6,99.6,2,2,22,3,0.07692307692307693,9,81.68330000000003,114,0,0.2781170294307548,-0.5048615466844389,2.120419210643753,872.4499809705909
255.27299999999997,2.291,1,2,59.3,3,2,19,3,0.2,4,69.30030000000002,96,0,0.31207412148477615,-0.4807387545756237,1.9881168620497733,642.6652275716834
779.9210000000004,1.1353000000000033,10,15,269.92,3,0,55,2,0.6,15,202.9035999999996,310,0,0.33051721970487663,-0.5121665214298708,2.2865845309277892,1389.213800139298
1401.1420000000005,-0.5352999999999879,19,23,532.1800000000001,7,5,98,11,0.3333333333333333,35,335.0530000000004,518,0,0.3305593516240924,-0.5122867389998124,1.1368079721618984,4221.248645310163
761.089,-0.35090000000000005,6,7,159.42999999999998,9,1,30,1,0.47058823529411764,13,134.5286,168,0,0.25313491922162407,-0.3936147042703631,3.5624129404296276,769.2720188294834
777.0880000000001,-1.0143000000000004,8,8,188.45,10,1,31,1,0.47058823529411764,14,135.75509999999997,174,0,0.253134796982124,-0.3936147042703631,3.5162620286583177,784.3251592607857
342.26300000000015,2.731700000000001,1,7,121.02000000000001,3,3,25,4,0.125,9,85.53770000000002,126,0,0.35493287780195293,-0.49668555377577667,2.253836803883448,1077.4401035845792
271.496,1.3765,0,0,0.0,0,0,3,0,0.0,3,11.706,16,0,,,0.0,2.754887502163469
183.318,-5.9945,0,0,0.0,0,0,3,0,0.0,3,0.0,16,0,2.0,-1.0,0.0,2.754887502163469
325.288,-2.8683999999999985,0,4,80.25999999999999,0,0,9,0,0.5,5,27.115999999999993,50,2,2.0,-0.5504770280073037,0.0,70.56842503028855
73.89,-8.439,0,3,63.19,0,0,6,0,0.0,5,5.396,24,0,1.0,-0.6523038539350137,0.0,31.774437510817343
303.215,-0.9063000000000001,4,7,156.60999999999999,6,2,20,2,0.4444444444444444,11,68.72130000000001,110,0,0.3504782563760778,-0.39412454464170626,2.1761553739333843,640.6900165321256
279.18899999999996,-1.6618000000000002,4,6,147.89999999999998,6,1,18,1,0.5,10,61.77930000000002,102,0,0.35049595660518407,-0.39360351967442003,2.681021614453369,497.8508195677134
273.1889999999999,-0.4397000000000001,3,6,136.38000000000002,5,2,18,2,0.375,10,62.59850000000002,98,0,0.35047795867073817,-0.38173116806412194,2.0039042896376533,594.1848870610049
126.00399999999998,-0.1579000000000001,3,2,94.83,1,0,7,0,0.0,6,20.068900000000003,42,0,0.43262192403198974,-0.47219782977680685,0.0,120.04184397996642
340.42699999999996,2.8828400000000007,4,4,118.2,10,2,25,2,0.2631578947368421,6,99.75720000000001,132,0,0.1222776309841451,-0.49360103062638605,1.5702297558849352,634.8689612708595
756.8970000000002,6.298620000000007,5,12,177.53,4,3,55,5,0.40476190476190477,13,213.94489999999954,294,0,0.3027393707787114,-0.5068789994569859,1.8212915273614927,2165.9503510915665
965.2959999999995,-0.5582000000000087,12,12,339.9599999999999,21,0,68,1,0.8085106382978723,21,260.59549999999933,390,0,0.24279773973046373,-0.3542229368919979,3.893940441176059,1642.9982665370565
1112.4729999999993,0.16929999999999207,13,13,369.0599999999999,25,1,79,2,0.7142857142857143,23,302.67219999999986,446,0,0.24307439857807359,-0.3542229368919855,2.7797505363307327,2125.2298649655995
186.258,1.0025999999999995,0,0,7.76,1,2,14,2,0.16666666666666666,2,54.23000000000004,70,0,0.16862998309293437,-0.20774116537296508,2.396509039726096,371.5796467381504
